global_name,local_name,dice_fields,table_roll,class_fields,class_fields_modifiers,usage_modifier,save_generate,use_generate,counters
,,89-90,"Редкие товары для торговли (Э). Закупает и продает редкие для региона предметы и материалы, такие как руда или текстиль.",,,,,,
,,91-92,"Магический магазин -Книги (Э). Продает магические предметы с упором на литературу, магические справочники и предания. Они также могут продавать книги и документы (например, карты и записи) редкого и значимого характера, хотя и немагического.",,,,,,
,,93-94,"Магический магазин - одежда (Э). Продает магические предметы с упором на одежду всех типов, обладающую магическими характеристиками.",,,,,,
,,95-96,Магический магазин - ювелирные изделия (Э). Продает магические предметы с упором на зачарованные или пропитанные магией украшения.,,,,,,
,,97-98,"Магический магазин - оружие (Э). Продает магические предметы с упором на оружие с магическими характеристиками и, возможно, щиты.",,,,,,
,,99-100,"Магический магазин - различные предметы и диковинки (Э). Приобретает и продает магические предметы, уделяя особое внимание странным и редким артефактам диковинного или интригующего характера.",,,,,,
,Количество мест оказания услуг:,,6;size,service,,,,size,
,Места оказания услуг:,,,,,,,,service
,0_1_100,1-4,Плохое,,,,,,
,,5-10,Нормальное,,,,,,
,,11-12,Отличное,,,,,,
,1,1-8,"Парикмахерская. Предоставляет услуги по уходу, такие как стрижка или бритье.",,,,,,
,,9-16,Баня. Предоставляет места для купания.,,,,,,
,,17-24,Врач/аптекарь.Оказывает медицинскую помощь.,,,,,,
,,25-32,"Дом отдыха.Предоставляет развлечения и/или отдых (ГМ может решить, какого рода).",,,,,,
,,33-44,"Гостиница.Предоставляет жилье, а также место, где можно принять ванну и нормально поесть.",,,,,,
,,45-52,"Клуб.Предоставляет развлечения в виде комедийных, драматических или музыкальных представлений.",,,,,,
,,53-60,Прорицатель.Предоставляет магические предсказания и пророчества!,,,,,,
,,61-68,"Конюшня. Предоставляет жилье для лошадей, а также продает повозки, животных и их упряжь.",,,,,,
,,69-80,Таверна. Предоставляет еду и напитки.,,,,,,
,,81-82,"Наемная помощь - Грубияны и дебоширы. Бандиты, грубияны и мускулистая сила.",,,,,,
,,83-84,"Наемные помощники -Плащ и кинжал. Ассасины, воры и шпионы.",,,,,,
,,85-86,Наемные помощники -Луки и пращи. Лучники и специалисты по дальним атакам.,,,,,,
,,87-88,"Наемные работники - писари и клерки. Мастера истории, литературы, математики и/или бизнеса.",,,,,,
,,89-90,"Наемные помощники - проводники и следопыты. Скауты, рейнджеры и эксперты по дикой природе.",,,,,,
,,91-92,"Наемные работники - караванщики и верховые. Специалисты по перевозкам и путешествиям в различные места, а также по организации и управлению экспедициями.",,,,,,
,,93-94,Наемные помощники - академики магии. Эксперты в вопросах магии и знаний (может быть также природная магия или что-то другое; не обязательно исключительно арканы).,,,,,,
,,95-96,"Наемные работники -магические наемники. Специалисты, обученные использованию колдовской или не божественной магии в бою и для решения практических задач.",,,,,,
,,97-98,"Наемные помощники - священнослужители. Мудрецы, дающие советы по всем вопросам религии и Божественности.",,,,,,
,,99-100,"Наемная помощь - Руки Бога. Специалисты, обученные использованию божественной магии в бою и для решения практических задач.",,,,,,
,Места поклонения:,,,aligment,,,,,
,1,1,Присутствует.,,1,,,,
,,2,Отсутствует,,0,,,,
,Размер места поклонения:,,,,,,,,aligment
,1,1,"Секрет. Размер места поклонения неизвестен, так как его местоположение не разглашается.",,,,,,
,,2-8,"Алтарь. Небольшое святилище или, возможно, крошечная хижина, в которой обычно находятся различные предметы или изображения, относящиеся к тому, кого почитает данная вера.",,,,,,
,,9-14,"Молельня. Скромное здание с местами для посетителей, украшенное различными предметами или изображениями, относящимися к почитаемой вере.",,,,,,
,,15-17,"Святилище. Большое, хорошо обставленное строение, способное с комфортом разместить до нескольких сотен человек.",,,,,,
,,18-19,"Храм. Величественное здание, изобилующее такими элементами, как высокие потолки, роскошная мебель и другие впечатляющие декоративные и/или архитектурные особенности. Он может вместить около тысячи человек.",,,,,,
,,20,"Великий храм. Внушающее благоговение сооружение, посвященное тому, что он почитает. При его строительстве не пожалели средств. В нем могут присутствовать такие элементы, как потрясающие фрески, сложные витражи и возвышающиеся позолоченные статуи. Попасть в великий храм - редкое и яркое событие для тех, кто не живет рядом с ним.",,,,,,
,Степень религиозного почитания:,,,,,,,,aligment
,1,1-3,"Незаметная. Для тех, кто не является последователем, не ясно, что они существуют.",,,,,,
,,4-7,"Молчаливая. Приверженцы веры незаметны, если только не знать, что искать (возможно, особые жесты, предметы одежды или фразы)",,,,,,
,,8-12,"Сдержанная.Последователи веры могут быть узнаваемы, но остаются очень сдержанными.",,,,,,
,,13-16,"Умеренная. Благочестивые люди уверены в себе и не боятся открыто демонстрировать свою веру, но не посягают на широкие слои населения без необходимости.",,,,,,
,,17-19,"Пылкая. Последователи откровенны, почти не боятся упреков. Они могут воспевать или выступать перед массами.",,,,,,
,,20,"Ревностное.Приверженцы абсолютно и бездумно набожны, навязывают свою доктрину своему окружению и сверстникам или предпринимают действия, способствующие продвижению их дела, невзирая на личные жертвы. Хотя это обычно воспринимается как негативное явление, однако оно может быть и позитивным, например, церковь спасения восстает в злом царстве, помогая нуждающимся, даже если это подвергает опасности их самих.",,,,,,
,Мировоззрение мест поклонения:,,,,,,,,aligment
,1,1,Злое,,,,,,
,,2-5,Нейтральное,,,,,,
,,6-10,Доброе,,,,,,
Дополнительные подробности:,,,,,,,,,
,Недавние события:,,,,,,,,
,1,1,"Благородство прошлых лет. Торговый пост управлялся доброжелательным лидером или советом, но коррумпированный человек или группа захватили власть.",,,,,,
,,2,"Строительство. Некоторые части торгового поста находились (или сейчас находятся) в стадии строительства. Инструменты, строительные леса и другие подобные элементы все еще можно увидеть, как и людей, работающих в течение дня.",,,,,,
,,3,"Криминальный центр. Некоторые из пожилых людей помнят, как торговый пост находился под управлением преступной организации, но некоторое время назад они были изгнаны.",,,,,,
,,4,"Нейтралитет. Торговый пост всегда исповедовал нейтралитет, выделяя себя как безопасное убежище, даже если на него оказывали давление близлежащие поселения.",,,,,,
,,5,"Популярный производитель. Торговый пост был известен производством уникального и/или популярного товара или услуги, которые сейчас недоступны или больше не пользуются спросом.",,,,,,
,,6,"Популярный производитель. Торговый пост был известен производством уникального и/или популярного товара или услуги, которые сейчас недоступны или больше не пользуются спросом.",,,,,,
,Политика:,,,,,,,,
,1,1,"На грани войны. В воздухе витает напряженность, и слухи о надвигающемся конфликте можно услышать в тишине торгового поста.",,,,,,
,,2,"Регион беззакония. Поскольку торговый пост находится за пределами регулярно посещаемых границ какого-либо королевства, общепринятые стандарты справедливости здесь, похоже, не действуют.",,,,,,
,,3,"Захваченный. Противоборствующие вражеские силы окружают торговый пост со всех сторон, и он оказывается в центре продолжающегося конфликта (хотя и не обязательно участвует в нем).",,,,,,
,,4,Революция. В соседнем королевстве происходит восстание. Представители любой из сторон могут присутствовать в торговом пункте.,,,,,,
,,5,"Мир. Все спокойно, почти подозрительно спокойно...",,,,,,
,,6,"Новое правление. Новая и неизвестная власть установила контроль над окрестностями. Местные жители могут быть за, против или нейтрально относиться к этому. В зависимости от типа правления, высказывания против руководства могут быть запрещены.",,,,,,
,События:,,,,,,,,
,1,1,"Высокопоставленный посетитель. Богатый аристократ проезжает мимо и разбрасывает свои деньги. Ему кажется, что все можно купить, и никакая цена не является слишком высокой.",,,,,,
,,2,Смутьяны. Компания хулиганов доставляет неудобства местным жителям. Враждебные столкновения нарастают и могут перерасти в насилие.,,,,,,
,,3,"Праздник дураков. Сегодня день дурака. Многие люди одеты как шуты и скоморохи. Напитки текут рекой, настроение веселое",,,,,,
,,4,"Пойман с поличным. Владелец магазина поймал вора и угрожает ему оружием на улице, пока тот умоляет о пощаде.",,,,,,
,,5,"Незнакомцы. Только что прибыл большой торговый караван, полный людей, которых местные жители никогда не видели, и некоторые не знают, что с ними делать.",,,,,,
,,6,"Чрезвычайное положение. В городе возникла чрезвычайная ситуация, например, пожар. Возникает суматоха, люди спешат на помощь или посмотреть, что происходит.",,,,,,
,Возможности:,,,,,,,,
,1,1,"Политические интриги. Недавно пропал известный местный дворянин. Возможно, они проезжали мимо и так и не добрались до места назначения? Возможно, никто даже не видел, как они уезжали..",,,,,,
,,2,"Пропавший человек. Пропал местный житель, возможно, ребенок, и ходят разные слухи. Некоторые говорят о чудовищах, но их шепот быстро опровергают, считая это сказками. У других есть теории, но ни одна из них не принесла плодов.",,,,,,
,,3,"Монстр. Монстр доставляет неприятности местным жителям. Кто-то в торговой лавке просит помощи, чтобы справиться с ним.",,,,,,
,,4,"Стража. Местной полиции нужны новые люди для предстоящего мероприятия, и способные авантюристы - лучшие кандидаты.",,,,,,
,,5,"Транспорт. Посетитель чувствует, что ему не рады, или по какой-то причине ему срочно нужно уехать. Ему нужна помощь, чтобы уехать и добраться до места назначения.",,,,,,
,,6,"Приобретение. Ходят слухи, что поблизости спрятан ценный предмет, возможно, связанный с историей торгового поста. Несколько местных жителей заинтересованы в его приобретении, но не все по одной и той же причине.",,,,,,
,Погода:,,,,,,,,
,1,1-2,"Отличная. Не по сезону отличная. Теплый день зимой, прохладный день летом и т.д.",,,,,,
,,3-6,"Неплохая. Самый лучший день, который можно ожидать в этом сезоне. Дождь или снег небольшой, если вообще идет. Ветер слабый.",,,,,,
,,7-14,"Нормальная. Нормальный день для сезона. Дождь, снег или ветер средние и легко переносимые.",,,,,,
,,15-18,"Тяжелая. Тяжелый день для сезона. Дождь, снег и ветер сильные и могут осложнить ситуацию",,,,,,
,,19-20,"Скверная. Большинство людей остаются дома. Путешествовать в таких условиях опасно. Дождь проливной, снег слепящий. Ветер может достигать ураганной силы.",,,,,,
,Показатель опасности:,,,,,,,,
,1,1-2,"Постоянная. Торговый пост постоянно находится в опасности. Столкновение с трудностями или неприятностями в той или иной форме, когда вы находитесь в этом районе, почти гарантировано. Никогда и никуда нельзя отправляться в одиночку. Подготовка и осторожность (даже на территории торгового поста и вокруг него) имеют решающее значение.",,,,,,
,,3-6,Частая.Путешествовать вблизи торгового поста и не столкнуться с опасностью или угрозой - большая редкость. Настоятельно рекомендуется подготовиться и быть осторожным.,,,,,,
,,7-14,Обыкновенная.Опасность или угроза - обычное явление. Рекомендуется подготовиться и соблюдать осторожность.,,,,,,
,,15-18,"Нечастая.Опасности или угрозы встречаются нечасто, однако рекомендуется подготовиться.",,,,,,
,,19-20,Редкая. Этот торговый пост построен в чрезвычайно безопасном месте; опасность или угроза - большая редкость.,,,,,,
,Характер опасности:,,,,,,,,
,1,1,Подозрительные местные жители. Чужаки часто считаются недоверчивыми и могут быть главными подозреваемыми в случае преступления.,,,,,,
,,2,Набеги. Торговый пост часто подвергается набегам близлежащих групп бандитов или стай мародерствующих существ.,,,,,,
,,3,"Монстр. Торговый пост терроризирует монстр, который бродит по окрестностям.",,,,,,
,,4,"Окружающая среда. Окружающая среда, в которой существует торговый пост, опасна. Здесь могут происходить частые землетрясения, извержения вулканов, наводнения, оползни, сход лавин, частые штормы и т.п.",,,,,,
,,5,"Культ. На территории торгового поста существует культ. Культ может быть известен и представлять прямую форму угрозы, или же он может быть неизвестен, и опасность, которую он представляет, может исходить из другого источника или не иметь связи с ним.",,,,,,
