global_name,local_name,dice_fields,table_roll,class_fields,class_fields_modifiers,usage_modifier,save_generate,use_generate,counters
,,2,"Еда или напитки. Кто-то в деревне готовит определенную еду или напиток (например, хлеб, тушеное мясо, продукты, эль, вино и т. д.), получившие некоторую известность. Они могут владеть заведением, но могут легко продать его прямо из дома.",,,,,,
,,3,"Близость расположения. Сама деревня может быть не очень особенной, но она где-то рядом, например, с потрясающим видом или историческим местом.",,,,,,
,,4,"Домашний скот. Деревня известна тем, что в ней разводят крепких и здоровых (возможно, даже породных) животных, таких как лошади, крупный рогатый скот, овцы и др.",,,,,,
,,5,"Урожай Деревня известна особенно примечательным урожаем. Это может означать редкое, высококачественное, обильное или сочетание этих трех.",,,,,,
,,6,"Товары ручной работы. Деревня известна ремеслом определенного предмета или типа товаров, широко любимых и высоко ценимых, таких как мебель ручной работы, категория предметов одежды и т. Д.",,,,,,
,Ресурсы:,,,,,,,,
,1,1,"Культуры. Деревня окружена полями или садами, на которых выращивают пшеницу, ячмень, виноград, овощи, фрукты и т. д. Их собирают в сыром виде, а излишки продают или обменивают. Место(а): ферма(ы), мельница(ы) и/или места хранения (бункеры или амбары).",,,,,,
,,2,"Молочные продукты. На пастбищах содержатся коровы, козы или овцы для получения молока или куры (или аналогичные) для получения яиц. Также можно разводить дополнительных животных для продажи. Из-за того, что молоко быстро портится, его можно продавать только в близлежащих городах или на рынках. Если продукты нужно перевозить на большие расстояния, возможно, в деревне вместо этого делают масло, сливки или сыр. Локации: погреб, маслобойня, поле/сарай/курятник",,,,,,
,,3,"Травы. Травы, выращенные в деревне, используются для алхимии, медицины или просто для приготовления пищи, и обычно за ними ухаживает человек из-за их более специализированной и потенциально опасной природы. Человек мог иметь некоторую степень медицинской или тайной подготовки. Примечание: если деревня не очень маленькая, маловероятно, что травы являются единственным фокусом деревни. Местонахождение: хижина травника и сады",,,,,,
,,4,"Ловит рыбу. Сельские жители используют щедрость ближайшего ручья, реки, озера или океана. Близость деревни к соседним поселениям определяет способ продажи рыбы. Если далеко, рыбу можно высушить и посолить; если поблизости, их можно было продать свежими. Место(я): рыбацкая стоянка, пристань/пирс",,,,,,
,,5,"Животноводство (Труд). Животных здесь разводят для выполнения определенной работы. К ним относятся плуг и боевые лошади, ослы, крупный рогатый скот и волы. Разведение и выращивание этих животных может быть длительным процессом, поэтому торговля, вероятно, носит сезонный характер, а животные дороги. Местоположение: конюшня или сарай",,,,,,
,,6,"Животноводство (мясо и шкуры). Животных выращивают на убой на мясо, включая крупный рогатый скот, свиней и овец. Некоторых можно оставить, чтобы прокормить деревню, но лишние животные (живые или убитые) будут проданы или проданы. Расположение: сарай или загоны, небольшая мясная лавка.",,,,,,
,,7,"Домашний скот (стрижка): лам, овец, коз и/или яков стригут в деревне, шерсть связывают и отправляют на рынок. Деревня также может производить собственные шерстяные изделия на продажу. Расположение: сарай для стрижки, склад, поля/амбар, небольшой ларек/магазин.",,,,,,
,,8,"Лесозаготовки и пиломатериалы. Деревья сажают и собирают, бережно. С заготовленных деревьев вручную обрезают ветки, а бревна используют, торгуют и продают. Сельские жители также могут обрабатывать древесину для изготовления деревянных изделий. Местонахождение: лесозаготовительный лагерь, столярная мастерская.",,,,,,
,,9,"Горное дело. Металлические руды извлекаются из земли, очищаются и сортируются, а затем используются, продаются или продаются. Возможно, шахта принадлежит дворянину или королевству, которое посылает транспорт, чтобы забрать добытые материалы. Руды можно обрабатывать в деревне и превращать в металлические изделия. Локации: мастерская, шахта, кузница",,,,,,
,,10,"Карьер и каменная кладка. Камень удаляется из ландшафта либо в необработанном виде, либо в виде блоков для различных целей. Возможно, каменоломня принадлежит дворянину или королевству, которое посылает транспорт, чтобы забрать добытые материалы. Местный каменщик может строить из выкопанного камня. Место(а): каменщик или мастерская",,,,,,
,Недавние события:,,,,,,,,
,1,1,"Проблемы с животными. Домашний скот или домашние животные могли быть уничтожены местной дикой природой или монстрами, или животные могли быть поражены болезнью или эпидемией.",,,,,,
,,2,"Атаки. Члены общины подверглись нападению либо разбойников, либо, возможно, монстров.",,,,,,
,,3,Производство. В последнее время основной ресурс деревни приносил очень хорошие плоды.,,,,,,
,,4,Не в чести. Деревня подверглась гневу соседнего правителя или существа.,,,,,,
,,5,"Развлечения. Определенная форма развлечения становится популярной, будь то игра или времяпрепровождение, приезд рассказчика или музыканта или что-то еще.",,,,,,
,,6,Страх. Недавно произошло что-то нервирующее или пугающее.,,,,,,
,,7,Удача. Деревня получила благоприятное уведомление от соседнего правителя или известного существа.,,,,,,
,,8,Заражение. Некоторые виды паразитов или вредителей недавно окружили деревню и стали постоянной проблемой.,,,,,,
,,9,Плохое производство. В последнее время основной ресурс деревни плохо приносил прибыль.,,,,,,
,,10,Силовой вакуум. Смерть или отсутствие местного лидера или фигур привело к внутренней борьбе внутри сообщества.,,,,,,
,,11,Зона безопасности. Деревня стала убежищем для беженцев или нуждающихся.,,,,,,
,,12,Варторн. Деревня была оккупирована вооруженными силами и в недавнем прошлом сильно пострадала во время войны.,,,,,,
Общество:,,,,,,,,,
,Количество проживающего населения:,,,crime,,population_density,,,
,1,1-2,"Скелет. Здесь достаточно людей, чтобы деревня функционировала на самом базовом уровне.",,2,,,,
,,3-6,"Редкий. Здесь живут люди, но их немного. Они способны справиться со всеми задачами, которые необходимо выполнить, но, возможно, с некоторыми трудностями.",,1,,,,
,,7-14,"Многолюдный. Здесь достаточно людей, чтобы деревня без труда справилась со всеми задачами.",,0,,,,
,,15-18,"Плотный. Деревня, кажется, имеет большое количество людей для своего размера. Есть много рук, готовых помочь с любой работой, которую нужно сделать.",,-1,,,,
,,19-20,"Перегружен. В деревне столько людей, сколько она может вместить, а на окраинах могут возникать лагеря. Есть много рук, доступных для помощи в работе, но, если работа не очень масштабная (например, разработка карьера), могут быть по крайней мере несколько бездельников.",,-2,,,,
,Демография:,,,,,,,,
,1,1-5,Только одна. 100% основная раса.,,,,,,
,,6-10,"Только две. 60% основной расы, 40% вторичной расы.",,,,,,
,,11-14,"Нормальное распределение. 50% первичная раса, 25% вторичная раса, 15% третичная раса, 10% другие.",,,,,,
,,15-17,Широкое распределение. 20% первичной расы. Все остальные представлены достаточно хорошо.,,,,,,
,,18-19,"Высокий и низкий уровень. 80% первичной расы, 20% вторичной расы.",,,,,,
,,20,Постоянно меняющаяся. Нет четкого распределения. Расовое представительство лишено ощущения численного доминирования.,,,,,,
,Отношение:,,,,,,,,
,1,1-2,"Враждебность. Местные жители выглядят очень недружелюбно по отношению к приезжим и, скорее всего, заставят чужаков чувствовать себя нежеланными гостями. Это может проявлятьсякак холодность, пассивная агрессивность или даже насилие.",,,,,,
,,3-6,"Недружелюбие. Местные жители не слишком дорожат приезжими, смотрят на них с презрением, страхом или подозрением.",,,,,,
,,7-14,"Нейтральность. Местные жители замкнуты или, возможно, неприветливы внешне, но могут быть дружелюбными, если вы узнаете их получше.",,,,,,
,,15-18,"Дружелюбие. Местные жители в целом дружелюбны, приветливы и не спешат обижаться.",,,,,,
,,19-20,"Радушие. Местные жители активно радуются гостям, и их культура это демонстрирует. Здесь рады практически всем.",,,,,,
,Правопорядок:,,,crime,,,,,
,,1-3,"Никто. Это может быть хорошо или плохо, в зависимости от точки зрения. Хорошо, если народ достаточно честен в том, что охрана не нужна, но плохо, когда нужно позвать на помощь.",,-2,,,,
,,4-10,"Неорганизованный сброд. Типичная деревенская мафия, практически без организации. Как правило, это формируется под влиянием момента для решения конкретной проблемы.",,-1,,,,
,,11-14,"Организованный сброд. Возможно, лучше, чем альтернатива, эта группа имеет руководство и лидерство в виде отдельного человека или небольшой группы. Они могут быть или не быть компетентными.",,0,,,,
,,15-18,"Шериф. Единственный, официально уполномоченный шериф заботится о поддержании порядка в деревне. Если им требуется дополнительная помощь, они просят ее у жителей деревни, которые могут оказать временную помощь.",,1,,,,
,,19-20,"Шериф и депутаты. Шериф и горстка депутатов, которые официально уполномочены властями, крепко держат деревню. Они сохраняют вежливость в официальном качестве.",,2,,,,
,Руководство:,,,,,,,,
,1,1,"Нет лидера. Деревня работает без руководства, что может привести к нерешенным спорам.",,,,,,
,,2,Естественный деревенский старейшина. Деревня признает мудрого человека и неофициально признает его авторитетной фигурой.,,,,,,
,,3,"Внешний правитель. Деревня верна правителю, который находится за пределами самой деревни.",,,,,,
,,4,"Местный совет. Видные члены сообщества были выбраны, чтобы коллективно возглавить деревню.",,,,,,
,,5,"Одинокий, избранный лидер. Местные жители демократично проголосовали за своего нынешнего лидера.",,,,,,
,,6,Анархо-синдикалистская коммуна. Члены деревни по очереди становятся своего рода исполнительными директорами на неделю.,,,,,,
,Богатство населения:,,,crime,,population_wealth,,,
,1,1-2,Нищий. Большинству населения постоянно не хватает самого необходимого для выживания.,,-2,,,,
,,3-6,"обедневший. Около половины населения борется за то, чтобы выжить даже на скудное существование.",,-1,,,,
,,7-14,Средний. Большинству населения хватает на скромную жизнь.,,0,,,,
,,15-17,"Процветающий. Большинству населения достаточно, чтобы жить хорошей жизнью, и изрядное количество из них может даже жить комфортно.",,-1,,,,
,,18-19,"Богатый. Сельские жители хорошо обеспечены, возможно, даже могут время от времени побаловать себя.",,-2,,,,
,,20,Богатый. Сельские жители имеют большой располагаемый доход и абсолютно ни в чем не нуждаются.,,-3,,,,
,Преступность:,,,urban_encounter,,crime,,,
,1,1-2,Обычная. Время от времени случаются кражи или легкое насилие. Лучше всего быть начеку.,,3,,,,
,,3-5,"Необычный. Преступления случаются нечасто, но если они случаются, то это событие, заслуживающее внимания.",,2,,,,
,,6-10,"Редкий. У большинства сельских жителей не было личного опыта с преступностью, и мало кто знает таких людей.",,1,,,,
,,11-20,"Мало-к-нету. Большинство или все жители деревни считают, что деревня абсолютно безопасна и, конечно же, не подвергались личному преступлению.",,0,,,,
Точки интереса:,,,,,,,,,
,Места поклонения:,,,aligment,,,,,
,1,1,Присутствует.,,1,,,,
,,2,Отсутствует,,0,,,,
,Размер места поклонения:,,,,,,,,aligment
,1,1,"Секрет. Размер места поклонения неизвестен, так как его местоположение не разглашается.",,,,,,
,,2-7,"Алтарь. Небольшое святилище или, возможно, крошечная хижина, в которой обычно находятся различные предметы или изображения, относящиеся к тому, кого почитает данная вера.",,,,,,
,,8-14,"Молельня. Скромное здание с местами для посетителей, украшенное различными предметами или изображениями, относящимися к почитаемой вере.",,,,,,
,,15-17,"Святилище. Большое, хорошо обставленное строение, способное с комфортом разместить до нескольких сотен человек.",,,,,,
,,18-19,"Храм. Величественное здание, изобилующее такими элементами, как высокие потолки, роскошная мебель и другие впечатляющие декоративные и/или архитектурные особенности. Он может вместить около тысячи человек.",,,,,,
,,20,"Великий храм. Внушающее благоговение сооружение, посвященное тому, что он почитает. При его строительстве не пожалели средств. В нем могут присутствовать такие элементы, как потрясающие фрески, сложные витражи и возвышающиеся позолоченные статуи. Попасть в великий храм - редкое и яркое событие для тех, кто не живет рядом с ним.",,,,,,
,Степень религиозного почитания:,,,,,,,,aligment
,1,1-3,"Незаметная. Для тех, кто не является последователем, не ясно, что они существуют.",,,,,,
,,4-7,"Молчаливая. Приверженцы веры незаметны, если только не знать, что искать (возможно, особые жесты, предметы одежды или фразы)",,,,,,
,,8-12,"Сдержанная.Последователи веры могут быть узнаваемы, но остаются очень сдержанными.",,,,,,
,,13-16,"Умеренная. Благочестивые люди уверены в себе и не боятся открыто демонстрировать свою веру, но не посягают на широкие слои населения без необходимости.",,,,,,
,,17-19,"Пылкая. Последователи откровенны, почти не боятся упреков. Они могут воспевать или выступать перед массами.",,,,,,
,,20,"Ревностное.Приверженцы абсолютно и бездумно набожны, навязывают свою доктрину своему окружению и сверстникам или предпринимают действия, способствующие продвижению их дела, невзирая на личные жертвы. Хотя это обычно воспринимается как негативное явление, однако оно может быть и позитивным, например, церковь спасения восстает в злом царстве, помогая нуждающимся, даже если это подвергает опасности их самих.",,,,,,
,Мировоззрение мест поклонения:,,,,,,,,aligment
,1,1,Злое,,,,,,
,,2-5,Нейтральное,,,,,,
,,6-10,Доброе,,,,,,
,Место сбора:,,,,,,,,
,1,1,Амфитеатр. Открытое пространство со сценой и многоярусными креслами.,,,,,,
,,2,Танцпол. Площадка для танцев и праздничных мероприятий,,,,,,
,,3,"Зал собраний. Общее здание, используемое для общественных мероприятий.",,,,,,
,,4,"Открытая зона отдыха. Ухоженное место, где местные жители могут поесть, отдохнуть или сразиться на дуэли...",,,,,,
,Количество других локаций:,,1;size_roll,locations,,,,size_roll,
,Другие локации:,,,,,,,,locations
,1,1-4,"Пекарь (В). Печет и продает свежий хлеб и, возможно, выпечку.",,,,,,
,,5-7,Мясник (Б). Перерабатывает и продает свежее и/или сушеное мясо.,,,,,,
,,8-11,"Купер (В). Изготавливает деревянные сосуды, скрепленные металлическими обручами, в том числе бочки, ведра и т. д.",,,,,,
,,12-15,"Плотник (Б). Строит или вырезает из дерева, а также проводит ремонт.",,,,,,
,,16-19,"Универсальный магазин (B). Продает предметы первой необходимости, продукты и различные мелочи.",,,,,,
,,20-23,Травник (Б). Продает обычные травы и натуральные немагические средства.,,,,,,
,,24-27,"Кузнец (Б). Продает и изготавливает металлические инструменты и оборудование, в том числе самое простое оружие и доспехи.",,,,,,
,,28-31,"Портной (Б). Производит и продает одежду, в том числе шляпы и плащи. Также продает обычные вещи из ткани, такие как одеяла, а также занимается ремонтом и переделкой тканевых изделий.",,,,,,
,,32-35,Кожевник/таксидермист (B). Обрабатывает шкуры животных для практических или декоративных целей.,,,,,,
,,36-39,"Тэтчер. Строит крыши из слоев высушенной соломы, тростника, камыша и т. д.",,,,,,
,,40-43,Уэйнрайт (Б). Строит телеги и повозки.,,,,,,
,,44-47,Ткач (В). Ткет сырое полотно и корзины.,,,,,,
,,48-50,"Алхимик (S). Варит и продает зелья, а также мирские травы и алхимические ингредиенты.",,,,,,
,,51-52,"Художник (С). Включает художника, скульптора или другое изобразительное искусство в зависимости от обстоятельств.",,,,,,
,,53-55,Сапожник (S). Шьёт и чинит сапоги и туфли.,,,,,,
,,56-58,Мельница (С). Оборудование для помола зерна.,,,,,,
,,59-61,"Корабельный плотник (С). Строит и запускает лодки и/или корабли. [Повторите бросок, если поселение не граничит со значительным источником воды]",,,,,,
,,62,Редкие растения (E). Выращивает и продает редкие для региона травы.,,,,,,
,,63,"Роскошная мебель (E). Закупает и продает всевозможные предметы домашнего обихода для прекрасной жизни, включая мебель, предметы искусства и другие высококачественные товары.",,,,,,
,,64,"Редкие возлияния и еда (E). Продает (и, возможно, делает или варит) напитки и/или еду исключительного качества или редкости для региона.",,,,,,
,,65,"Редкие торговые товары (E). Закупает и продает предметы и материалы, такие как руды или ткани, которые редки для региона.",,,,,,
,,66,Волшебный магазин - Броня (E). Продает магические предметы с упором на броню и защитное снаряжение.,,,,,,
,,67,"Волшебный магазин - Книги (E). Продает магические предметы с упором на литературу, тайные фолианты и знания. Они также могут иметь при себе книги и документы (такие как карты и записи) редкого и важного характера, хотя и не магического характера.",,,,,,
,,68,"Волшебный магазин - Одежда (E). Продает магические предметы, уделяя особое внимание одежде всех типов, обладающей магическими свойствами.",,,,,,
,,69,Волшебный магазин - Ювелирные изделия (E). Продает волшебные предметы с упором на зачарованные или иным образом заряженные магией украшения.,,,,,,
,,70,"Волшебный магазин - Оружие (E). Продает магические предметы с упором на оружие с мистическими свойствами и, возможно, щиты",,,,,,
,,71,"Волшебный магазин - Разное и диковинки (E). Добывает и продает магические предметы, уделяя особое внимание странным и редким артефактам чудесного или интригующего характера.",,,,,,
,,72-73,"Парикмахерская. Предоставляет услуги по уходу, такие как стрижка или бритье.",,,,,,
,,74-75,Баня. Предусмотрены места для купания.,,,,,,
,,76-77,Врач/аптекарь. Оказывает медицинскую помощь.,,,,,,
,,78-79,"Дом Досуга. Обеспечивает развлечение и/или расслабление (Мастер может решить, какое именно).",,,,,,
,,80-84,"Гостиница. Предоставляет жилье, а также место для принятия ванны и приличной еды.",,,,,,
,,85-89,Предсказатель. Обеспечивает магическое предсказание и пророчество - предсказатель!,,,,,,
,,90-94,"Стойла. Предоставляет жилье для верховых животных, а также продает повозки, животных и их снаряжение.",,,,,,
,,95-99,Таверна. Обеспечивает еду и питье.,,,,,,
,,100,"Сгоревший или заброшенный бизнес. Раньше это было место для бизнеса, но теперь это не так. Бросьте еще раз по этой таблице, чтобы увидеть, что это было.",,,,,,
Дополнительные подробности:,,,,,,,,,
,События:,,,,,,,,
,1,1,Рождение или день рождения. Благословения ищут для людей в день их рождения.,,,,,,
,,2,"Вечеринка. Это веселые мероприятия, которые объединяют сообщество для общения и духа товарищества, и могут происходить по ряду причин.",,,,,,
,,3,"Похороны. Собрание в память о тех из сообщества, которые скончались, либо в трауре, либо в честь их жизни, с вечеринкой, отражающей то, что больше всего значило для умершего.",,,,,,
,,4,"Урожай и урожайность. Сельские жители ищут благословения для предстоящей работы, такой как сбор урожая, или благодарят за обильные урожаи.",,,,,,
,,5,"Любовь. Праздники для поощрения пар, празднования пар и семьи.",,,,,,
,,6,"Политический. Празднование в честь событий национального значения, таких как память о великой победе или обретении независимости.",,,,,,
,,7,"Религиозный. События, связанные с почитаемым божеством и его чествованием, часто носят регулярный характер и имеют традицию.",,,,,,
,,8,Свадьба. Празднование официального воссоединения двух семей.,,,,,,
,,9,"Местный. Праздник, вращающийся вокруг крупного местного события или подвига местного героя.",,,,,,
,,10,Путешествие и добро пожаловать. Праздники приветствуют кого-то нового в сообществе или кого-то в путешествии,,,,,,
,Политические слухи:,,,,,,,,
,1,1,"Могучее несчастье. Несчастье постигло видного деятеля, проживающего недалеко от поселения, но за его пределами (лишено титула, ограблено, убито, проиграло в карты и т. д.).",,,,,,
,,2,"Верность. Новая власть заявляет права на верность деревне, что является кульминацией затяжного конфликта.",,,,,,
,,3,Барабаны войны. Соседние города готовятся к войне друг с другом.,,,,,,
,,4,Дворянская свадьба. Местный дворянин только что женился на сыне или дочери любимой (или очень ненавидимой) семьи.,,,,,,
,,5,"Больше налогов. Повышение налогов вот-вот будет реализовано, чтобы заплатить за дорогой и амбициозный проект.",,,,,,
,,6,"Пропавший налоговый инспектор. Налоги не собирались уже довольно давно, а сборщика не видели уже несколько недель.",,,,,,
,Суеверия:,,,,,,,,
,1,1,Закопать дохлую кошку под порогом необходимо для процветания здания.,,,,,,
,,2,"Половинка цыпленка вылечит любое количество болезней (от чумы до прыщей), если ее привязать к пораженному участку.",,,,,,
,,3,Размещение зеркал или больших отражающих объектов друг напротив друга в комнате может открыть невидимую дверь для дьяволов.,,,,,,
,,4,"Висящая омела над притолокой — это священная клятва, что хозяин не причинит вреда никому, кто войдет.",,,,,,
,,5,"Никогда не втыкайте нож острием вниз в дерево или в режущий блок, так как это спровоцирует акты насилия среди окружающих.",,,,,,
,,6,"Злые духи могут скрываться в листьях капусты и ростках; вы должны вырезать священный знак на дне, прежде чем готовить их.",,,,,,
,,7,"После посещения могилы или кладбища нужно идти домой извилистой тропой, делая по пути остановки, чтобы сбить приведение со своего хвоста",,,,,,
,,8,"Нож в подарок разорвет дружбу, поэтому за него всегда нужно символически платить.",,,,,,
,,9,"Никогда не пользуйтесь тупыми ножницами, иначе вы рискуете случайно перерезать нить, связывающую вашу душу с телом.",,,,,,
,,10,"Знание своего полного имени позволяет тем, кто желает вам зла, наложить на вас проклятие, поэтому держите в тайне свое второе имя.",,,,,,
,,11,"Приземлившаяся перед вами птица-падальщик означает, что вы или кто-то из ваших близких скоро умрет.",,,,,,
,,12,"Одинокая сорока — к несчастью, но приветствие одинокой сороки («Доброе утро, мистер Сорока, как ваша жена?») превратит неудачу в удачу.",,,,,,
,,13,"В играх никогда не хватайте кости. Владелец костей должен отдать их первому бросившему, который должен передать их дальше и так далее. В противном случае кости будут прокляты на две недели.",,,,,,
,,14,"Беременная женщина не должна выходить по вечерам, чтобы непроглядная тьма не испортила ребенка. Если ей нужно выйти, она должна нести вторую лампу прямо перед животом, чтобы защитить ребенка.",,,,,,
,,15,"Загадывая желание у колодца, ценность монеты, которую вы бросаете, должна быть соизмерима с ценностью вашего желания.",,,,,,
,,16,"Говоря со взрослыми мужчинами или женщинами, стоит обращаться к ним как «сэр» или «мадам» хотя бы один раз во время обмена.",,,,,,
,,17,"При добыче или резке камня щепки от первого удара дня должны быть прикарманены тем, кто ударил, чтобы духи земли не чувствовали себя само собой разумеющимися.",,,,,,
,,18,Признаваться в любви на рассвете или в сумерках — к несчастью.,,,,,,
,,19,"Целуя дверной косяк вашего дома при входе или выходе, вы просите защиты у богов.",,,,,,
,,20,"Никогда не оставляйте пустой стакан или чашку из-под спиртного вверх дном, чтобы настоящий дух не попытался заполнить пустоту, вселяясь в тело следующего пьющего.",,,,,,
,Происходящее:,,,,,,,,
,1,1,"Компенсация рабочим. Рабочий получил травму на работе, и люди спешат ему на помощь.",,,,,,
,,2,"Дорожный торговец. Странствующий торговец только что прибыл в город, и у него есть множество уникальных вещей, которые можно показать и продать.",,,,,,
,,3,Пропавшие без вести дети. Некоторые из молодых жителей деревни пропали без вести. Как давно их нет? Что они делали в последний раз?,,,,,,
,,4,Падший всадник. Поздно ночью в деревню въехал тяжелораненый человек в доспехах и без сознания упал с лошади. На нем гербовая накидка с незнакомым гербом.,,,,,,
,,5,Они мои. Двое жителей деревни соревнуются за руку местного сердцееда.,,,,,,
,,6,"Эхо в глубине. Житель деревни клянется, что слышит звуки, похожие на голоса, исходящие из-под земли.",,,,,,
,Возможности:,,,,,,,,
,1,1,Вор. Кто-то скрылся с большим количеством основного урожая или ресурсов деревни.,,,,,,
,,2,Дикая природа. Местная дикая природа преследует жителей деревни или животных.,,,,,,
,,3,Монстр(ы). Что-то похуже простой дикой природы терроризирует деревню.,,,,,,
,,4,"Призраки. Дух бродит где-то в деревне. Что-то было сделано с этим человеком, пока он был жив, что привязало дух к этому месту.",,,,,,
,,5,"Время веселиться. Скоро фестиваль, а посылка с чем-то важным для мероприятия еще не прибыла.",,,,,,
,,6,"Теневые дела. На стенах некоторых домов или других зданий обнаруживаются странные символы. Были найдены обломки костей или груды камней, сложенные таким образом. Что-то или кто-то пытается отправить сообщение или выполнить не очень приятную задачу. Что это такое и почему это происходит?",,,,,,
,Погода:,,,,,,,,
,1,1,"Идеал. Последние условия были максимально хорошими. Работа продвигается лучше, чем обычно, и любой выращенный ресурс может давать более богатый урожай, чем обычно.",,,,,,
,,2,"Сильные осадки. Дождь или снег были значительно сильнее, чем обычно. Либо было достаточно наводнения, либо снег был достаточно глубоким, чтобы причинить ущерб, возможно, даже заперев людей в их домах.",,,,,,
,,3,"Засуха. Было тепло, может быть, даже приятно, но дождя тоже давно не было. Вещи становятся сухими и ломкими. Если нет решений для хранения воды и распределения воды (например, орошения), это не сулит ничего хорошего.",,,,,,
