global_name,local_name,dice_fields,table_roll,class_fields,class_fields_modifiers,usage_modifier,save_generate,use_generate,counters,reroll
,,20,"Множество. Огромные группы людей толпятся на улицах, вероятно, выбрасываясь на дороги за пределами города. Заторы — это постоянная реальность и регулярная проблема.",,5,,,,,
,Ночная активность:,,,,,night_activity,,,,
,1,1-2,"Темно. К тому времени, когда солнце садится, улицы почти пустеют, а город закрывается. Все тихо и мирно. Если в городе есть ворота, они закрыты и заперты. Охранники могут пускать внутрь ночных путешественников, а могут и не пускать.",,,,,,,
,,3-6,"Тихо. Все закрыто, кроме постоялых дворов и таверн, которые остаются открытыми до полуночи. Опоздавшим гостям приходилось будить трактирщика, чтобы получить номер. Если в городе есть ворота, они закрыты и заперты. Охранники обычно впускают посетителей, но препятствуют блужданиям.",,,,,,,
,,7-14,"Медленно. Почти все закрыто, кроме таверн, которые могут быть открыты до раннего утра, и гостиниц, которые остаются открытыми постоянно. Если в городе есть ворота, они закрыты, но охранники, как правило, готовы их открыть, если это необходимо.",,,,,,,
,,15-18,"Активный. Гостиницы и таверны остаются открытыми постоянно. Некоторые магазины и услуги могут быть открыты для поздних путешественников или полуночников. Изрядное количество заведений все еще может быть закрыто. Если в городе есть ворота, их держат открытыми, но охраняют, готовые закрыть в случае необходимости.",,,,,,,
,,19-20,"Оживленный. Разница между дневным и ночным движением невелика. На улицах всегда есть люди, и может показаться, что никто никогда не спит. Большинство магазинов и услуг остаются открытыми постоянно. Если в городе есть ворота, они остаются открытыми и закрываются только при самых ужасных обстоятельствах.",,,,,,,
,Демография:,,,,,,,,,
,1,1-4,Только одна. 100% основная раса.,,,,,,,
,,5-8,"Только две. 60% основной расы, 40% вторичной расы.",,,,,,,
,,9-14,"Нормальное распределение. 50% первичная раса, 25% вторичная раса, 15% третичная раса, 10% другие.",,,,,,,
,,15-17,Широкое распределение. 20% первичной расы. Все остальные представлены достаточно хорошо.,,,,,,,
,,18-19,"Высокий и низкий уровень. 80% первичной расы, 20% вторичной расы.",,,,,,,
,,20,Постоянно меняющаяся. Нет четкого распределения. Расовое представительство лишено ощущения численного доминирования.,,,,,,,
,Отношение:,,,,,disposition,,,,
,1,1-2,"Враждебный. Местные жители кажутся очень недружелюбными по отношению к посетителям и, вероятно, заставят приезжих чувствовать себя нежеланными. Это может проявляться как холодность, пассивно-агрессивность или даже насилие.",,,,,,,
,,3-6,"Недружественный. Местные жители мало заботятся о приезжих, смотрят на них с презрением, страхом или подозрением.",,,,,,,
,,7-14,"Нейтральный. Местные жители сдержанны или, возможно, суровы снаружи, но могут быть дружелюбными, если вы с ними познакомитесь.",,,,,,,
,,15-18,"Дружелюбный. Местные жители, как правило, дружелюбны, приветливы и не спешат обижаться.",,,,,,,
,,19-20,"Открытый. Местные жители активно радуются приезжим, и это заложено в их культуре. Почти любой приветствуется.",,,,,,,
,Руководство:,,,commercial_locations;law_enforcement;crime,,,,,,
,1,1-15,"Городской совет. Видные члены сообщества были выбраны, чтобы коллективно возглавить город. (Бесплатное местоположение: некоммерческое помещение — ратуша)",,0;0;0,,,,,
,,16-30,Мэр. Местные жители демократично проголосовали за своего нынешнего лидера.,,0;0;0,,,,,
,,31-45,Наследственный. Неизбранный лидер находится у власти в силу своей родословной.,,0;0;0,,,,,
,,46-60,Торговый монарх. По умолчанию лидирует самый богатый владелец магазина в городе.,,2;0;0,,,,,
,,61-75,Военный устав. Городом управляет действующий или бывший лидер военной группы.,,0;1;0,,,,,
,,76-90,Олигархия. Несколько человек коллективно управляют городом. [Бросок 1d4]: 1: торговцы (плутократия); 2: маги (магократия); 3: священники (теократия); 4: другая небольшая группа.,,0;0;0,,,,,
,,91-99,Преступный мир или преступное предприятие. Преступник или группа преступников публично или в частном порядке контролирует город.,,0;0;-1,,,,,
,,100,Анархо-синдикалистская коммуна. Члены города по очереди становятся своего рода исполнительными директорами на неделю.,,0;0;0,,,,,
,Правопорядок:,,,crime,,law_enforcement,,,,
,1,1,"Никто. Это может быть хорошо или плохо, в зависимости от точки зрения. Хорошо, если люди здесь заслуживают доверия, но плохо, если ситуация выходит из-под контроля.",,-8,,,,,
,,2-4,"Шериф. Шериф, а также несколько его заместителей санкционированы властями города.",,-4,,,,,
,,5-9,"Маленькая городская стража. Вахту возглавляет назначенный капитан, и в ней работает небольшое количество охранников. Присутствие может быть рассеянным или отсутствовать время от времени.",,-2,,,,,
,,10-16,"Городской дозор. Вахту возглавляет назначенный капитан с одним лейтенантом и достаточным количеством охранников, чтобы должным образом охранять ключевые точки города с помощью символических патрулей.",,0,,,,,
,,17-19,"Сильная городская стража. Вахту несет опытный капитан с двумя лейтенантами, несколькими капралами и большим количеством рядовых. Присутствие позволяет иметь дополнительные патрули и хорошо отдохнувшую охрану.",,4,,,,,
,,20,"Обширная городская стража. За вахтой наблюдает награжденный капитан с тремя лейтенантами, несколькими капралами и более чем достаточным количеством охранников. Присутствие позволяет страже бдительно следить за происходящим в городе. Стража всегда рядом.",,8,,,,,
,Богатство населения:,,,crime;quality,,population_wealth,,,,
,1,1-2,Обездоленность. Большинству населения постоянно не хватает самого необходимого для выживания.,,-4;-2,,,,,
,,3-6,Нищенство.Около половины населения с трудом сводит концы с концами.,,-2;-1,,,,,
,,7-14,Средний достаток. Большинству населения хватает на скромную жизнь.,,0;0,,,,,
,,15-17,"Процветание. Большинство населения имеет достаточно средств для хорошей жизни, а некоторые из них даже могут жить безбедно.",,-1;0,,,,,
,,18-19,"Богатство.Почти у всех есть все необходимое для комфортной жизни, многие могут жить хорошо, а некоторые очень процветают.",,-2;2,,,,,
,,20,"Достаток.Почти все могут жить комфортно, значительная часть живет в роскоши.",,-4;3,,,,,
,Преступность:,,,urban_encounter,,crime,,,,
,1,1-2,"Регулярная. Улицы кишат преступниками, и не пристегнутая сумочка почти наверняка будет украдена.",,4,,,,,
,,3-6,"Распространенная. Большинство привыкло слышать о неприятностях каждый день или два. Каждый знает кого-то, кто стал жертвой преступления.",,3,,,,,
,,7-14,Обычная. Время от времени случаются кражи или легкое насилие. Лучше всего быть начеку.,,2,,,,,
,,15-18,"Нечастая. Некоторые на торговом посту сталкивались с карманниками или слышали об ограблении, и когда это происходит, это событие привлекает внимание.",,1,,,,,
,,19-20,"Редкая. Большинство жителей торгового поста лично не сталкивались с преступностью и знают лишь немногих людей, которые сталкивались.",,0,,,,,
Точки интереса:,,,,,,,,,,
,Некоммерческие места:,,,,,,,,size,
,0_1_1,1,"академия/университет. Консерватория, посвященная стремлению к высшим знаниям, иногда в определенной области обучения.",,,,,,,
,,2,"Архивы/Библиотека. Структура, посвященная жилищным записям и письменной информации.",,,,,,,
,,3,"Форум. Место, предназначенное для использования интеллектуальных дебатов и дискуссий.",,,,,,,
,,4,"Школа. Учреждение, ориентированное на обучение детей.",,,,,,,
,0_2_2,1,Амфитеатр. Открытое пространство со сценой и многоярусными креслами.,,,,,,,
,,2,Танцпол. Площадка для танцев и праздничных мероприятий.,,,,,,,
,,3,"Зал собраний. Обычное открытое здание, такое как общественный центр, используемое для местных мероприятий или место, где местные жители могут просто общаться в повседневной жизни.",,,,,,,
,,4,"Открытая зона отдыха. Ухоженное место, где местные жители могут поесть, отдохнуть или сразиться на дуэли...",,,,,,,
,0_3_3,1,Канцелярия. Используется как офис для официальной документации и административных задач.,,,,,,,
,,2,Здание суда. Используется для проведения судебных процессов или отправления правосудия.,,,,,,,
,,3,"Ратуша. Используется для официальных городских дел, аудиенций и встреч.",,,,,,,
,,4,Казначейство. Используется как централизованное место для управления городскими средствами.,,,,,,,
,0_4_4_0,1,"Секрет. Размер места отправления культа неясен, так как местонахождение не известно широкой публике.",,,,,,,
,,2-5,"Алтарь. Небольшая святыня или, возможно, крошечная хижина, обычно выставляющая напоказ какие-то различные предметы или изображения, относящиеся к тому, что почитается верой.",,,,,,,
,,6-10,"Ораторское искусство. Скромное здание с сидячими местами для посетителей, украшенное различными предметами или изображениями, относящимися к тому, что почитается верой.",,,,,,,
,,11-16,"Святилище. Большое благоустроенное сооружение, способное с комфортом разместить до нескольких сотен человек.",,,,,,,
,,17-19,"Храм. Величественное здание с такими элементами, как высокие потолки, роскошная мебель и другие впечатляющие декоративные и/или архитектурные особенности. Он может вместить почти тысячу посетителей.",,,,,,,
,,20,"Великий Храм. Внушающее благоговейный трепет сооружение, посвященное тому, чему оно поклоняется. На его строительство не жалели средств. Он может отображать такие элементы, как потрясающие фрески, сложные витражи и высокие позолоченные статуи. Войти в великий храм — редкое и поразительное событие для тех, кто не живет рядом с ним.",,,,,,,
,0_4_4_1,1,"Невидимый. Для тех, кто не входит в список ниже, неясно, что группа существует.",,,,,,,
,,2-5,"Тихо. Приверженцы веры незаметны, если не знать, на что обращать внимание (возможно, на определенные жесты, предметы одежды или фразы).",,,,,,,
,,6-10,"Тонкий. Последователей веры можно узнать, но они остаются очень сдержанными.",,,,,,,
,,11-16,"Умеренный. Благочестивые уверены в себе и не боятся открыто демонстрировать свою веру, но не посягают на более широкий народ без необходимости.",,,,,,,
,,17-19,"Пылкий. Последователи откровенны, практически не боятся упреков. Они могут петь или выступать перед массами.",,,,,,,
,,20,"Ревностный. Приверженцы совершенно и бездумно набожны, навязывая свою доктрину своему окружению и сверстникам или предпринимая действия, которые способствуют их делу, независимо от личной цены. Хотя это обычно рассматривается как негативное, это также может быть положительным, например, церковь света, поднимающаяся в царстве зла, помогающая нуждающимся, даже если они подвергают себя опасности.",,,,,,,
,0_4_4_2,1,Злой,,,,,,,
,,2-5,Нейтральный,,,,,,,
,,6-10,Добрый,,,,,,,
,1,1,Место образования,,,,,,,
,,2,Место сбора,,,,,,,
,,3,Место правительства,,,,,,,
,,4,Место поклонения,,,,,,,
,Коммерческие места:,,,,,,,,size_commer,
,0_1_2,1-4,Плохое.,,,,,,,
,,5-10,Хорошее.,,,,,,,
,,11-12,Отличное.,,,,,,,
,0_1_1,1-4,"Булочная (О).Печет и продает свежий хлеб и, возможно, выпечку.",,,,,,,
,,5-8,Мясная лавка (О).Перерабатывает и продает свежее и/или сушеное мясо.,,,,,,,
,,9-12,"Бондарь (О). Изготавливает деревянные сосуды, скрепленные металлическими обручами, включая бочки, ведра и т.д.",,,,,,,
,,13-16,"Плотник (О). Строит или вырезает из дерева, а также занимается ремонтом.",,,,,,,
,,17-24,"Обычный магазин (О).Продаёт предметы первой необходимости, продукты питания и различные мелочи.",,,,,,,
,,25-28,"Травник (О). Продает обычные травы и натуральные, не магические лекарства.",,,,,,,
,,29-36,"Кузня (О).Продает и изготавливает металлические инструменты и снаряжение, включая самое необходимое оружие и доспехи.",,,,,,,
,,37-40,"Портной (О). Изготавливает и продает одежду, включая шляпы и плащи. Также продает предметы общего назначения из ткани, например, одеяла, и осуществляет ремонт и переделку изделий из ткани.",,,,,,,
,,41-44,Кожевник/таксидермист (О). Обрабатывает шкуры животных для практических или декоративных целей.,,,,,,,
,,45-48,"Кровельщик (О). Строит крыши, используя слои высушенной соломы, тростника, камыша и т.д.",,,,,,,
,,49-52,Каретных дел мастер (О). Изготавливает телеги и повозки.,,,,,,,
,,53-56,Ткач (О).Плетёт необработанную ткань и корзины.,,,,,,,
,,57-59,"Алхимик (С). Варит и продает зелья, а также обычные травы и алхимические ингредиенты.",,,,,,,
,,60-62,"Художник (С). Включает в себя художника, скульптора и другие виды изобразительного искусства.",,,,,,,
,,63-65,"Банк и биржа (С).Охватывает аукционы, банковское дело, специфическую продажу драгоценных камней или обмен валюты.",,,,,,,
,,66-68,Сапожник (С).Делает и чинит сапоги и ботинки.,,,,,,,
,,69-71,Литейное дело/плавильня (С). Обработка руды и изготовление металла.,,,,,,,
,,72-74,Мельница (С).Предприятия по помолу зерна.,,,,,,,
,,75-77,"Текстильное производство (С). Масштабнее, чем у одного ткача, предлагает более широкий ассортимент материалов в больших количествах.",,,,,,,
,,78-80,"Корабельщик (С). Строит и спускает на воду лодки и/или корабли. [Перебросить, если поселение не граничит со значительным источником воды].",,,,,,,
,,81-82,Редкие травы (Э). Выращивает и продает редкие для региона травы.,,,,,,,
,,83-84,"Предметы роскоши (Э). Закупает и продает всевозможные предметы для дома, включая мебель, предметы искусства и другие высококачественные товары",,,,,,,
,,85-86,"Редкие напитки и блюда (Э).Продает (и, возможно, делает или варит) напитки и/или еду превосходного качества или редкости для региона.",,,,,,,
,,87-88,"Редкие товары для торговли (Э). Закупает и продает редкие для региона предметы и материалы, такие как руда или текстиль.",,,,,,,
,,89-90,"Редкие товары для торговли (Э). Закупает и продает редкие для региона предметы и материалы, такие как руда или текстиль.",,,,,,,
,,91-92,"Магический магазин -Книги (Э). Продает магические предметы с упором на литературу, магические справочники и предания. Они также могут продавать книги и документы (например, карты и записи) редкого и значимого характера, хотя и немагического.",,,,,,,
,,93-94,"Магический магазин - одежда (Э). Продает магические предметы с упором на одежду всех типов, обладающую магическими характеристиками.",,,,,,,
,,95-96,Магический магазин - ювелирные изделия (Э). Продает магические предметы с упором на зачарованные или пропитанные магией украшения.,,,,,,,
,,97-98,"Магический магазин - оружие (Э). Продает магические предметы с упором на оружие с магическими характеристиками и, возможно, щиты.",,,,,,,
,,99-100,"Магический магазин - различные предметы и диковинки (Э). Приобретает и продает магические предметы, уделяя особое внимание странным и редким артефактам диковинного или интригующего характера.",,,,,,,
,0_2_2,1-8,"Парикмахерская. Предоставляет услуги по уходу, такие как стрижка или бритье.",,,,,,,
,,9-16,Баня. Предоставляет места для купания.,,,,,,,
,,17-24,Врач/аптекарь.Оказывает медицинскую помощь.,,,,,,,
,,25-32,"Дом отдыха.Предоставляет развлечения и/или отдых (ГМ может решить, какого рода).",,,,,,,
,,33-44,"Гостиница.Предоставляет жилье, а также место, где можно принять ванну и нормально поесть.",,,,,,,
,,45-52,"Клуб.Предоставляет развлечения в виде комедийных, драматических или музыкальных представлений.",,,,,,,
,,53-60,Прорицатель.Предоставляет магические предсказания и пророчества!,,,,,,,
